metric_name,Date,day_score
311 CALL CENTER PERFORMANCE,1/1/2018,1.052631579
311 CONSTITUENT EXPERIENCE SURVEYS,1/1/2018,NA
BFD INCIDENTS,1/1/2018,NA
BFD RESPONSE TIME,1/1/2018,NA
CITY SERVICES SATISFACTION SURVEYS,1/1/2018,0.25
CODE ENFORCEMENT ON-TIME %,1/1/2018,1.191176471
CODE ENFORCEMENT TRASH COLLECTION,1/1/2018,1.25
GRAFFITI ON-TIME %,1/1/2018,NA
MISSED TRASH ON-TIME %,1/1/2018,NA
PARKS MAINTENANCE ON-TIME %,1/1/2018,NA
POTHOLE ON-TIME %,1/1/2018,NA
SIGN INSTALLATION ON-TIME %,1/1/2018,NA
SIGNAL REPAIR ON-TIME %,1/1/2018,NA
STREETLIGHT ON-TIME %,1/1/2018,1.25
TREE MAINTENANCE ON-TIME %,1/1/2018,NA
311 CALL CENTER PERFORMANCE,1/2/2018,0.93883357
311 CONSTITUENT EXPERIENCE SURVEYS,1/2/2018,NA
BFD INCIDENTS,1/2/2018,5.315646259
BFD RESPONSE TIME,1/2/2018,0.942760943
CITY SERVICES SATISFACTION SURVEYS,1/2/2018,NA
CODE ENFORCEMENT ON-TIME %,1/2/2018,1.213942308
CODE ENFORCEMENT TRASH COLLECTION,1/2/2018,0.104166667
EMS RESPONSE TIME,1/2/2018,0.972972447
GRAFFITI ON-TIME %,1/2/2018,NA
MISSED TRASH ON-TIME %,1/2/2018,1.25
PARKS MAINTENANCE ON-TIME %,1/2/2018,1.25
POTHOLE ON-TIME %,1/2/2018,NA
SIGN INSTALLATION ON-TIME %,1/2/2018,NA
SIGNAL REPAIR ON-TIME %,1/2/2018,1.25
STREETLIGHT ON-TIME %,1/2/2018,NA
TREE MAINTENANCE ON-TIME %,1/2/2018,NA
311 CALL CENTER PERFORMANCE,1/3/2018,0.990712074
311 CONSTITUENT EXPERIENCE SURVEYS,1/3/2018,NA
BFD INCIDENTS,1/3/2018,NA
BFD RESPONSE TIME,1/3/2018,NA
BPS ATTENDANCE,1/3/2018,NA
CITY SERVICES SATISFACTION SURVEYS,1/3/2018,0.25
CODE ENFORCEMENT ON-TIME %,1/3/2018,1.157407407
CODE ENFORCEMENT TRASH COLLECTION,1/3/2018,1.057692308
GRAFFITI ON-TIME %,1/3/2018,NA
HOMICIDES (TREND),1/3/2018,NA
LIBRARY USERS,1/3/2018,1.306967674
MISSED TRASH ON-TIME %,1/3/2018,0.951086957
PARKS MAINTENANCE ON-TIME %,1/3/2018,0.326086957
PART 1 CRIMES,1/3/2018,2
POTHOLE ON-TIME %,1/3/2018,0.208333333
SHOOTINGS (TREND),1/3/2018,NA
SIGN INSTALLATION ON-TIME %,1/3/2018,0
SIGNAL REPAIR ON-TIME %,1/3/2018,1.25
STABBINGS (TREND),1/3/2018,1.333333333
STREETLIGHT ON-TIME %,1/3/2018,NA
TREE MAINTENANCE ON-TIME %,1/3/2018,1.25
311 CALL CENTER PERFORMANCE,1/4/2018,0.877192982
311 CONSTITUENT EXPERIENCE SURVEYS,1/4/2018,NA
BFD INCIDENTS,1/4/2018,8.859410431
BFD RESPONSE TIME,1/4/2018,1.025641026
BPS ATTENDANCE,1/4/2018,NA
CITY SERVICES SATISFACTION SURVEYS,1/4/2018,0.65
CODE ENFORCEMENT ON-TIME %,1/4/2018,1.213054187
CODE ENFORCEMENT TRASH COLLECTION,1/4/2018,1.1875
EMS RESPONSE TIME,1/4/2018,1.323530385
GRAFFITI ON-TIME %,1/4/2018,NA
HOMICIDES (TREND),1/4/2018,NA
LIBRARY USERS,1/4/2018,1.309262732
MISSED TRASH ON-TIME %,1/4/2018,1.25
PARKS MAINTENANCE ON-TIME %,1/4/2018,0.666666667
PART 1 CRIMES,1/4/2018,1.571428571
POTHOLE ON-TIME %,1/4/2018,0.15625
SHOOTINGS (TREND),1/4/2018,NA
SIGN INSTALLATION ON-TIME %,1/4/2018,0.892857143
SIGNAL REPAIR ON-TIME %,1/4/2018,1.176470588
STABBINGS (TREND),1/4/2018,1.333333333
STREETLIGHT ON-TIME %,1/4/2018,0.588235294
TREE MAINTENANCE ON-TIME %,1/4/2018,NA
311 CALL CENTER PERFORMANCE,1/5/2018,0.756578947
311 CONSTITUENT EXPERIENCE SURVEYS,1/5/2018,NA
BFD INCIDENTS,1/5/2018,6.890652557
BFD RESPONSE TIME,1/5/2018,1.01010101
BPS ATTENDANCE,1/5/2018,NA
CITY SERVICES SATISFACTION SURVEYS,1/5/2018,0.45
CODE ENFORCEMENT ON-TIME %,1/5/2018,1.215277778
CODE ENFORCEMENT TRASH COLLECTION,1/5/2018,1.25
EMS RESPONSE TIME,1/5/2018,0.966443472
GRAFFITI ON-TIME %,1/5/2018,NA
HOMICIDES (TREND),1/5/2018,NA
LIBRARY USERS,1/5/2018,0.794224856
MISSED TRASH ON-TIME %,1/5/2018,1.25
PARKS MAINTENANCE ON-TIME %,1/5/2018,1.09375
PART 1 CRIMES,1/5/2018,3.384615385
POTHOLE ON-TIME %,1/5/2018,NA
SHOOTINGS (TREND),1/5/2018,NA
