"","number","zip_code","location","city","population","people_sq_mile","national_rank"
"2","1.","02113","42.365170, -71.055363","Boston, Massachusetts","6,401","60,728.26","#35"
"3","2.","02115","42.337545, -71.106173","Boston, Massachusetts","25,486","30,823.24","#116"
"4","3.","02116","42.349991, -71.076080","Boston, Massachusetts","19,682","26,352.26","#135"
"5","4.","02215","42.347053, -71.101985","Boston, Massachusetts","21,963","25,125.73","#145"
"6","5.","02118","42.337863, -71.070816","Boston, Massachusetts","22,173","20,902.06","#196"
"7","6.","02109","42.362653, -71.053804","Boston, Massachusetts","3,428","20,752.98","#199"
"8","7.","02114","42.363175, -71.068646","Boston, Massachusetts","10,868","19,975.48","#209"
"9","8.","02121","42.307434, -71.083022","Boston, Massachusetts","25,057","19,592.25","#222"
"10","9.","02120","42.332424, -71.095750","Boston, Massachusetts","10,842","18,116.78","#244"
"11","10.","02199","42.347465, -71.082058","Boston, Massachusetts","1,005","17,390.25","#262"
"12","11.","02124","42.285922, -71.075046","Boston, Massachusetts","50,781","16,127.90","#299"
"13","12.","02111","42.348784, -71.058988","Boston, Massachusetts","5,138","15,967.11","#303"
"14","13.","02119","42.323881, -71.085332","Boston, Massachusetts","23,823","14,856.36","#339"
"15","14.","02122","42.295088, -71.052533","Boston, Massachusetts","24,548","14,350.84","#355"
"16","15.","02127","42.336004, -71.038695","Boston, Massachusetts","29,456","13,233.61","#395"
"17","16.","02108","42.357554, -71.063913","Boston, Massachusetts","3,446","12,377.16","#434"
"18","17.","02125","42.320300, -71.045904","Boston, Massachusetts","33,618","11,016.97","#517"
"19","18.","02163","42.366168, -71.122850","Boston, Massachusetts","1,191","8,842.92","#705"
"20","19.","02110","42.357371, -71.053180","Boston, Massachusetts","1,428","8,630.93","#731"
"21","20.","02222","42.366470, -71.062494","Boston, Massachusetts","246","8,179.32","#801"
"22","21.","02128","42.361129, -71.006976","Boston, Massachusetts","38,413","7,504.84","#920"
"23","22.","02210","42.347682, -71.041731","Boston, Massachusetts","592","757.88","#7,043"
