"","zip_code","location","population","people_sq_mile"
"1","02113","42.365170, -71.055363","6,401","60,728.26"
"2","02115","42.337545, -71.106173","25,486","30,823.24"
"3","02116","42.349991, -71.076080","19,682","26,352.26"
"4","02215","42.347053, -71.101985","21,963","25,125.73"
"5","02144","42.399655, -71.122550","25,058","23,099.70"
"6","02446","42.343503, -71.122248","29,555","22,035.60"
"7","02139","42.362288, -71.103791","34,682","21,628.72"
"8","02118","42.337863, -71.070816","22,173","20,902.06"
"9","02109","42.362653, -71.053804","3,428","20,752.98"
"10","02114","42.363175, -71.068646","10,868","19,975.48"
"11","02121","42.307434, -71.083022","25,057","19,592.25"
"12","02141","42.370300, -71.082560","12,041","19,289.40"
"13","02120","42.332424, -71.095750","10,842","18,116.78"
"14","02145","42.391577, -71.089910","26,887","18,021.98"
"15","01902","42.470180, -70.940915","47,601","17,938.82"
"16","02199","42.347465, -71.082058","1,005","17,390.25"
"17","02143","42.381572, -71.096995","25,095","16,218.68"
"18","02124","42.285922, -71.075046","50,781","16,127.90"
"19","02111","42.348784, -71.058988","5,138","15,967.11"
"20","02150","42.396690, -71.032723","35,080","15,759.34"
"21","02134","42.358786, -71.129581","21,389","15,139.35"
"22","02140","42.392157, -71.133996","17,003","14,881.84"
"23","02119","42.323881, -71.085332","23,823","14,856.36"
"24","02135","42.348417, -71.154339","43,887","14,809.88"
"25","02122","42.295088, -71.052533","24,548","14,350.84"
"26","01841","42.712015, -71.164873","44,038","14,234.49"
"27","02126","42.274856, -71.092908","27,815","13,523.15"
"28","02127","42.336004, -71.038695","29,456","13,233.61"
"29","01718","42.520314, -71.427867","420","12,732.57"
"30","02108","42.357554, -71.063913","3,446","12,377.16"
"31","02138","42.379637, -71.135152","35,407","11,341.73"
"32","02129","42.378843, -71.063821","15,195","11,130.85"
"33","02125","42.320300, -71.045904","33,618","11,016.97"
"34","02148","42.430140, -71.057694","56,340","11,005.14"
"35","01850","42.656045, -71.303309","15,808","10,592.52"
"36","02131","42.283021, -71.125027","32,527","10,592.04"
"37","02149","42.405938, -71.054649","38,037","10,360.53"
"38","02170","42.265480, -71.017144","19,373","9,923.31"
"39","01610","42.244675, -71.809543","23,773","9,907.95"
"40","02723","41.692208, -71.132132","15,992","9,875.06"
"41","01105","42.101795, -72.577560","13,138","9,769.31"
"42","01840","42.707232, -71.160459","4,732","9,473.30"
"43","02724","41.683936, -71.177500","17,433","9,428.33"
"44","01107","42.120751, -72.606808","11,333","9,082.76"
"45","02163","42.366168, -71.122850","1,191","8,842.92"
"46","02110","42.357371, -71.053180","1,428","8,630.93"
"47","01851","42.627958, -71.336033","29,631","8,433.30"
"48","02744","41.609068, -70.914984","11,710","8,414.68"
"49","02152","42.354065, -70.962391","18,303","8,299.77"
"50","02222","42.366470, -71.062494","246","8,179.32"
"51","02130","42.307277, -71.114055","36,293","7,993.43"
"52","02472","42.369451, -71.177925","32,986","7,935.76"
"53","02151","42.418278, -71.005085","47,283","7,922.84"
"54","02474","42.420949, -71.156370","25,496","7,841.14"
"55","02740","41.638582, -70.942865","43,391","7,658.44"
"56","02453","42.369542, -71.240513","29,119","7,543.79"
"57","02128","42.361129, -71.006976","38,413","7,504.84"
"58","01108","42.082117, -72.556608","25,828","7,502.76"
"59","02476","42.415637, -71.175670","16,866","7,395.95"
"60","01103","42.104011, -72.591538","2,661","7,193.25"
"61","01608","42.262294, -71.801144","3,195","7,118.26"
"62","01843","42.689364, -71.159947","23,189","6,800.75"
"63","02721","41.680516, -71.154390","26,376","6,779.07"
"64","02458","42.354115, -71.189130","12,150","6,602.43"
"65","02171","42.286150, -71.025943","16,458","6,507.48"
"66","02155","42.423844, -71.109231","56,203","6,449.56"
"67","02460","42.352006, -71.209242","9,143","6,448.37"
"68","02746","41.662054, -70.942962","14,742","6,402.90"
"69","01852","42.631849, -71.295785","32,941","6,304.51"
"70","01854","42.649540, -71.344927","26,787","6,219.51"
"71","02136","42.255083, -71.129220","28,392","6,048.39"
"72","01905","42.469172, -70.979224","23,573","5,977.54"
"73","02176","42.455723, -71.059019","27,134","5,713.95"
"74","01109","42.117824, -72.550129","30,655","5,622.97"
"75","02465","42.349533, -71.227339","11,316","5,541.31"
"76","02132","42.280905, -71.163965","24,058","5,203.60"
"77","01603","42.240937, -71.836682","17,467","5,191.14"
"78","02478","42.395667, -71.183078","24,158","5,148.11"
"79","02464","42.312975, -71.218882","2,936","5,147.71"
"80","02461","42.319031, -71.208169","6,344","5,014.13"
"81","01970","42.511503, -70.904299","40,407","4,956.29"
